curso,prerrequisitos,nivel,carrera
"Fundamentos para el calculo", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Fundamentos de las finanzas", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Introduccion a la contabilidad", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Liderazgo personal y trabajo en equipo", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Calculo 1", "Fundamentos para el calculo", "Ciclo 2", "Contabilidad y administracion"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Contabilidad y administracion"
"Contabilidad basica", "Introduccion a la contabilidad", "Ciclo 2", "Contabilidad y administracion"
"Introduccion a la administracion en la globalizacion", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Contabilidad y administracion"
"Macroeconomia", "Fundamentos de las finanzas", "Ciclo 2", "Contabilidad y administracion"
"Informatica contable", "Introduccion a la contabilidad", "Ciclo 2", "Contabilidad y administracion"
"Fundamentos de la investigacion academica", "Comprension y produccion de lenguaje 2", "Ciclo 3", "Contabilidad y administracion"
"Estadistica descriptiva", "Calculo 1", "Ciclo 3", "Contabilidad y administracion"
"Matematica financiera", "Fundamentos de las finanzas", "Ciclo 3", "Contabilidad y administracion"
"Contabilidad intermedia", "Contabilidad basica", "Ciclo 3", "Contabilidad y administracion"
"Teoria microeconomica", "Fundamentos para el calculo" "Macroeconomia", "Ciclo 3", "Contabilidad y administracion"
"Marketing", "Introduccion a la administracion en la globalizacion", "Ciclo 3", "Contabilidad y administracion"
"Estadistica inferencial", "Estadistica descriptiva", "Ciclo 4", "Contabilidad y administracion"
"Finanzas corporativas", "Contabilidad basica" "Matematica financiera", "Ciclo 4", "Contabilidad y administracion"
"Contabilidad de costos", "Contabilidad intermedia", "Ciclo 4", "Contabilidad y administracion"
"Integracion contable", "Contabilidad intermedia", "Ciclo 4", "Contabilidad y administracion"
"Derecho de los negocios", "Introduccion a la administracion en la globalizacion", "Ciclo 4", "Contabilidad y administracion"
"Gestion del capital humano global", "Introduccion a la administracion en la globalizacion", "Ciclo 4", "Contabilidad y administracion"
"Metodos cuantitativos", "Estadistica descriptiva", "Ciclo 5", "Contabilidad y administracion"
"Contabilidad avanzada", "Integracion contable", "Ciclo 5", "Contabilidad y administracion"
"Sistemas avanzados de costeo", "Contabilidad de costos", "Ciclo 5", "Contabilidad y administracion"
"Diseño organizacional y procesos", "Introduccion a la administracion en la globalizacion", "Ciclo 5", "Contabilidad y administracion"
"Comunicacion para el liderazgo", "Liderazgo personal y trabajo en equipo", "Ciclo 5", "Contabilidad y administracion"
"Topicos de derecho tributario", "Contabilidad intermedia", "Ciclo 5", "Contabilidad y administracion"
"Analisis y proyeccion de estados financieros", "Contabilidad avanzada" "Contabilidad de costos", "Ciclo 6", "Contabilidad y administracion"
"Evaluacion de proyectos de inversion privada", "Finanzas corporativas", "Ciclo 6", "Contabilidad y administracion"
"Tecnicas de auditoria", "Contabilidad avanzada", "Ciclo 6", "Contabilidad y administracion"
"Impuesto a la renta", "Topicos de derecho tributario", "Ciclo 6", "Contabilidad y administracion"
"Sistemas integrados", "Integracion contable", "Ciclo 6", "Contabilidad y administracion"
"Taller de nif 1", "Contabilidad avanzada", "Ciclo 6", "Contabilidad y administracion"
"Administracion de operaciones", "Metodos cuantitativos", "Ciclo 7", "Contabilidad y administracion"
"Sistemas de informacion de ent digitales", "Diseño organizacional y procesos", "Ciclo 7", "Contabilidad y administracion"
"Investigacion de mercado aplicada a los negocios", "Estadistica inferencial" "Marketing", "Ciclo 7", "Contabilidad y administracion"
"Impuestos al consumo", "Topicos de derecho tributario", "Ciclo 7", "Contabilidad y administracion"
"Valoracion de empresas fusiones y adquisiciones", "Contabilidad avanzada", "Ciclo 7", "Contabilidad y administracion"
"Gestion de proyectos", "Investigacion de mercado aplicada a los negocios", "Ciclo 8", "Contabilidad y administracion"
"Comportamiento organizacional", "Gestion del capital humano global", "Ciclo 8", "Contabilidad y administracion"
"Etica y responsabilidad social empresarial", "140 creditos aprobados", "Ciclo 8", "Contabilidad y administracion"
"Niifs y su incidencia tributaria", "Impuesto al consumo", "Ciclo 8", "Contabilidad y administracion"
"Contabilidad gerencial", "Analisis y proyeccion de estados financieros" "Sistemas avanzados de costeo", "Ciclo 9", "Contabilidad y administracion"
"Metodologia de la investigacion", "140 creditos aprobados", "Ciclo 9", "Contabilidad y administracion"
"Contabilidad de instrumentos financieros", "Analisis y proyeccion de estados financieros" "Valoracion de empresas fusiones y adquisiciones", "Ciclo 9", "Contabilidad y administracion"
